,Country.Name,Country.Code,Year,GDP per capita (current US$),Gini index,"Unemployment, total (% of total labor force) (national estimate)","Inflation, consumer prices (annual %)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),"Life expectancy at birth, total (years)","School enrollment, tertiary (% gross)",Current health expenditure per capita (current US$),Population growth (annual %),Access to electricity (% of population),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Urban population (% of total population)
1,Australia,AUS,2016,49888.04108,33.7,5.711,1.276990945,19.27874425,25.44818368,82.44878049,119.6827774,5453.924805,1.561940498,100,86.54,109.7343698,85.8
2,Australia,AUS,2018,57196.42208,34.3,5.345,1.911400944,21.89409054,24.646412,82.74878049,103.3220901,5857.288086,1.49599671,100,90,110.6519296,86.012
3,Brazil,BRA,2012,12521.72135,53.4,7.251,5.40349914,11.87753907,21.41722537,73.552,43.23085022,953.703125,0.811598483,99.5,48.56,124.1756934,84.923
4,Brazil,BRA,2013,12458.89121,52.7,7.071,6.204310666,11.74223065,21.69376696,73.918,44.33937073,977.8168945,0.810511648,99.6,51.04,134.3929329,85.209
5,Brazil,BRA,2014,12274.99397,52,6.755,6.329040155,11.01194282,20.54841076,74.306,47.1568718,1013.56842,0.806314178,99.7,54.551,137.9776265,85.492
6,Brazil,BRA,2015,8936.196618,51.9,8.538,9.029901024,12.90019142,17.41162587,74.332,48.43404007,782.5229492,0.791721774,99.7,58.328,125.6477067,85.77
7,Brazil,BRA,2016,8836.286526,53.4,11.58,8.739143523,12.46667904,14.96954697,74.442,48.33333969,795.9379883,0.76197267,99.7,60.8725,117.9869738,86.042
8,Brazil,BRA,2017,10080.50928,53.3,12.792,3.44637335,12.51896787,14.6255876,74.827,50.02674866,937.3428955,0.72824666,99.8,67.4713,106.1217992,86.309
9,Brazil,BRA,2018,9300.661649,53.9,12.33,3.664850284,14.6349995,15.09504163,75.109,51.19168854,863.2817383,0.683439571,99.7,70.4343,99.64002652,86.569
10,Brazil,BRA,2019,9029.833267,53.5,11.936,3.732976212,14.12291919,15.5167908,75.338,52.62406158,850.4328613,0.651994346,99.8,73.9124,95.38505233,86.824
11,Brazil,BRA,2020,7074.193783,48.9,13.697,3.211768038,16.45355201,16.11582061,74.009,54.57279968,704.9953613,0.57935071,99.7,81.3427,96.54706819,87.073
12,Brazil,BRA,2021,7972.53665,52.9,13.159,8.301659756,19.10943037,19.52188502,72.75,56.83061981,761.2677612,0.425360907,99.5,80.6899,102.48887,87.317
13,China,CHN,2002,1148.514257,42,4,-0.731970902,22.64462803,36.15344344,72.985,11.71570969,50.15548325,0.669999568,97.2,4.5957,16.08250443,38.425
14,China,CHN,2005,1753.414192,40.9,4.2,1.776414077,33.82992775,40.34614955,74.111,18.55514908,73.29019928,0.58812499,97.9,8.52326,30.14865123,42.522
15,China,CHN,2008,3468.327063,43,4.2,5.92525137,32.60250288,42.26902681,74.872,21.85469055,134.2076416,0.512386932,98.8,22.6,48.20785124,46.539
